FieldName,DataType
START_DATE_GI_PR,DATS
VSVDT,DATS
T1_MNDATEDEL,DATS
PARGUELVON,DATS
DFIXDT,DATS
DATVYDRAZ,DATS
DSETTLE_MAIN,DATS
DUEDATE1,DATS
MENDE,DATS
GEBDAT,DATS
FLIGHT_DATE,DATS
M_FKDAT,DATS
CERTIF_BEGDA,DATS
ADD_DATE05,DATS
DOCDAT,DATS
RUNDT,DATS
LAST_SCHED_DATE,DATS
POSTING_START_DATE,DATS
ACQ_OAS_DT,DATS
ERSDT,DATS
DLVRECH,DATS
DBPERIODSAV,DATS
DATE_PLA,DATS
BEG07,DATS
NEW_DELFZ,DATS
ZI_DATE,DATS
MOVE_IN,DATS
WVALFR,DATS
/SAPC2/VALFROM,DATS
ASSESSMENT_PERIOD_END_DATE,DATS
BLOCK_TO,DATS
EE_DEPDATE,DATS
STKLBEG2,DATS
JP_TO,DATS
DDATFRM,DATS
METREC_DAT,DATS
REVIEW_ON,DATS
IDATE_FI,DATS
CMLQTY_DAT,DATS
LASTRUNDATE3,DATS
PARTNERDATEOFSERVICE,DATS
APPR_DATE,DATS
RE_OBJVALIDTO,DATS
MONAT_AB,DATS
DATUML,DATS
WE_DAT,DATS
DAT_TRG_END_REAL,DATS
BASDATEIDX,DATS
DESSTRDATE,DATS
FHIRE,DATS
INISIM,DATS
BEGINDATE20,DATS
CF_DERF,DATS
FAMDT,DATS
RESP_DT,DATS
FOUDF4,DATS
VALIDFROM_P2,DATS
DGUELB07,DATS
DATE11,DATS
CENTRAL_TDVALID_TO,DATS
U_DELFZ,DATS
NEW_BEG,DATS
CHG_DATE1,DATS
PATBIRTH,DATS
PREVENTED_TO,DATS
DATE_FROM_OLD,DATS
BUDAT7,DATS
ORIG_POST_DATE,DATS
DUPDDAT,DATS
QMEL_AEDAT,DATS
EXE_START_DATE,DATS
UPL_DATE,DATS
DUE_DATE_LOW,DATS
F_DATE_TO,DATS
DATU1,DATS
PRD_BEGIN,DATS
AGEDATE,DATS
VALFRVP,DATS
SY_DATE,DATS
LDDAT_R_R,DATS
DEMLE,DATS
RBDAD,DATS
DAMTDATE_02,DATS
BELEBIS,DATS
AUGDTAZ2,DATS
VALDATE,DATS
IBEGD,DATS
PROCEDURE_DATE_UI,DATS
TAENDATE,DATS
AUSWDAT5,DATS
DRDAT_PO,DATS
REDUCTION_START_DATE,DATS
DAY,DATS
AS4DATE_ORIG_EXP,DATS
DATUM_EHE_BIS,DATS
COFIN,DATS
LAST_SCHED,DATS
MEASVALIDTO01,DATS
VDT02,DATS
TARGET_DATE_FROM,DATS
BEGINNDATUM,DATS
AB_DAT_GP,DATS
P_LSTDT,DATS
PSM_BUDATK,DATS
WI_TASK_SPEC_DATE_TO,DATS
WI_LSD_N,DATS
MT_ENDDA,DATS
ZINBG09,DATS
ENDVA,DATS
ATP_DATE,DATS
FDATS,DATS
REPAY_START,DATS
KURS_ENDDA,DATS
PWDSETDATE,DATS
PRMDA,DATS
BEGDA0,DATS
PREISAB,DATS
COUDE2,DATS
V1K_DATAB,DATS
ADATO,DATS
STATUS_DBEAR_AD,DATS
DATCRE,DATS
DANPASS_H,DATS
BDTER_MIN,DATS
DAUER_X,DATS
RGUEBIS,DATS
EXPORTED_DATE,DATS
NACHLIFDAT,DATS
LEIHDAT,DATS
DELDATE_DC,DATS
AEPPP,DATS
DATS_8,DATS
SALES_DATE_FROM,DATS
LAUFD1,DATS
EDATUI,DATS
WN_DATE_FROM_8,DATS
C_DATE,DATS
ZHLDTV,DATS
CREATED_ON_TO,DATS
BA1RDAT,DATS
MNDATT,DATS
DATE_INTERN,DATS
CHDATOLD,DATS
CCDAF,DATS
DHHOCH,DATS
PDUV02,DATS
V0508,DATS
INSUR_EXPY_DAT,DATS
DATE_PLAN_FR,DATS
ESTDATE,DATS
INCEPTIOND,DATS
PLCANCELDATE,DATS
DBESTAND_RP,DATS
ASSIGNED_BEGDA,DATS
RUN_DATE_TO,DATS
PREVCLOSDATE,DATS
ACHANGEDATE,DATS
ISSDT4,DATS
BUSI_BEGIN_DATE_DESC,DATS
PURCHASE_FROM,DATS
ASDATE,DATS
DLE05,DATS
PSACTIV,DATS
DATE_SUSPEND,DATS
ENDDA_1775,DATS
REP_DATE,DATS
DATE_SCHEME_CEASED,DATS
BENDDA,DATS
ANYDATUM,DATS
PMT_BUDAT,DATS
DATE004,DATS
APF05,DATS
ABS_ENDDA_08,DATS
COV_ENDDT,DATS
CLOSED_ON,DATS
DAT_VOLL_65LJ,DATS
DATELOCKED,DATS
ERDATC,DATS
INCORPORATION_DATE,DATS
ZZAKTIVD,DATS
UTD29,DATS
COMPLIANCE_DATE,DATS
REFEND,DATS
LSTCPUDT,DATS
N8CA_STUDA,DATS
FIN_FX_END,DATS
INPDT,DATS
TARGETBILLINGDATE,DATS
DAT_RUN,DATS
DDT01,DATS
GSTRI,DATS
DT_SENT_JUD,DATS
IPABSBEGDAT,DATS
SSASD,DATS
SALABLEFROM,DATS
FFL_TO,DATS
DATE_UPLOAD,DATS
END26,DATS
P2137,DATS
WE_BLDAT,DATS
ABSCHLUSS1_ARB,DATS
DBEGBMI,DATS
JZIVERSDAT,DATS
EXAMPLE_DATE,DATS
PSTDTT,DATS
SN_DATE,DATS
REN_VAL_DATE,DATS
POS_VL_DT,DATS
WVAST,DATS
DAT_ABS,DATS
EXERCISE_DATE1,DATS
LVBEG,DATS
SRGDT,DATS
HVVON,DATS
OP_DBUDAT,DATS
ADHOC_CHANGED_AT,DATS
CHNGDAT_PV,DATS
BUDAT_MIN,DATS
VZUNTER,DATS
ABWBD,DATS
LST_CHGE_ON_DATE,DATS
RECON_DATE,DATS
OPTIONS_FOR_CHANGE_DATE,DATS
JAHRVON,DATS
LOAD_FC_START_DATE,DATS
F24_N_SAP,DATS
GENDAT,DATS
SWF_CREDAT,DATS
DATE_VS,DATS
PFROM02,DATS
DUNDLV,DATS
TAXDATEFROM,DATS
AMDAT,DATS
DRNWACCPAR_01,DATS
TRIG_FROM,DATS
N_WORKDAY,DATS
CTRTBU_BDATE,DATS
EFFECTIVE_TO,DATS
GETDATE,DATS
DABSAG,DATS
ACCYR,DATS
PRO_VAL_DATETO,DATS
ORG_POST_DATE,DATS
WS_DATUM,DATS
GEN_DATE5,DATS
KPDAT,DATS
START_D,DATS
RELEND,DATS
WEBPUBLICATION_DATE_TO,DATS
DABRZ_IK,DATS
ITEM_DATE,DATS
GENTSTPDAT,DATS
P2167,DATS
TIMEINT_END,DATS
DAT_TO_F,DATS
PLAN_END,DATS
REPDT10,DATS
REPDAT,DATS
PRTD2,DATS
FDDAT,DATS
PERIOD_TO,DATS
DTF15,DATS
BEWVD,DATS
D2X_DAT01,DATS
DVONP,DATS
BAGDAT,DATS
DWEPRUEF,DATS
TRANSFERON,DATS
DAB_OBJZU,DATS
ENDDAA,DATS
ENDCB,DATS
MRDATE_TARGET,DATS
VAL_BEG_DT,DATS
ORDER_STARTDATE,DATS
BEGDT1,DATS
SCISD,DATS
TR_VBDTS,DATS
PRDAT,DATS
UEDATB,DATS
NTC_DATE_RECEIPT,DATS
DATE_FR_P,DATS
FP_ERFDATE,DATS
DATE_CLOSE,DATS
N51_STARTUP_DATE,DATS
PRINTEDON_SP,DATS
LFDATBISLI,DATS
N3BG_TODDT,DATS
CAREER_BEGDA,DATS
ESTIMATE_DATE,DATS
POS_AEDAT,DATS
OPENED_AT_DATE,DATS
VAL_TO_DATE,DATS
CAREER_LAW_DATE,DATS
LMV_DATE_TO,DATS
OPTIONS_FOR_CONSTR_START_DATE,DATS
SICKD,DATS
PAEND10,DATS
DISC_DATE,DATS
FVJZIVERSD,DATS
DATVA_N,DATS
DGUEL_PR,DATS
BEGDA2,DATS
CPD_ERDAT,DATS
RECDT,DATS
END_OF_DEADLINE,DATS
CONTRACTEXECDATE,DATS
BZDAT,DATS
VALID_FROMBDY,DATS
LEAVEBEGINDATE,DATS
PEDD5,DATS
PBLDA,DATS
ENDDA_0050,DATS
DATE_END,DATS
ANB60,DATS
DENDWOCAP,DATS
ELM_KEY_FPENDAPP,DATS
SEQ_DATE,DATS
DGULTAB_01,DATS
FROMDAT,DATS
LAST_MODIFIED,DATS
LPASSGN_DATETO,DATS
VALIDTO_D,DATS
PREVD,DATS
FILBI,DATS
LAST_TIME_D,DATS
DPRE_NOTE,DATS
DRMEND,DATS
PSARCHIVEDTO,DATS
ENDDAT,DATS
MPL_ENDDA,DATS
CONDVALIDTO_BD03,DATS
UNFDTBEW,DATS
SIGN_DATEG,DATS
RECNRNENDMAX,DATS
RW_DATE,DATS
PAY_DIR_INIT_DATE,DATS
GENIDATE,DATS
AEDAT_PR,DATS
PVDAT12,DATS
APPLIC_BY,DATS
DT_INC_ALT,DATS
LOP2B,DATS
VALIDFROM1,DATS
LAST_COUPON_DATE,DATS
KFEND,DATS
ABEDT,DATS
RPT_DODAT,DATS
GIDATE,DATS
COLLECTDATE,DATS
AENDER_BIS,DATS
DATVF,DATS
NF_ISSUING_DATE,DATS
ENDDA23,DATS
BEGWK,DATS
ASL_DATE,DATS
MAINT_DATE,DATS
AEDAT,DATS
DELETION_DATE,DATS
OVDAT,DATS
DMODIFIED,DATS
SD_UPG,DATS
SELGUELAB,DATS
PSENDDA,DATS
MC_DATETO,DATS
ENT14,DATS
PAREXDT,DATS
AUSGDAT,DATS
PRODT,DATS
EXECUTION_FROM_DATE,DATS
ERDATA,DATS
CONDA,DATS
ANALYSEDATE,DATS
RENT_START,DATS
OFKDAT,DATS
DPKOND,DATS
ADJMAPPDATE,DATS
APPOINT_DATE,DATS
INVPERIOD_END,DATS
PMBEGDA,DATS
PRSDT04,DATS
HRYDATE_TRGT,DATS
CLMADEDATE,DATS
